mean_delta,std_delta,median_delta,young_delta,old_delta,n_cells,gene
-0.00030278054,0.03747139,0.00049046427,-0.00071289804,0.0001474402,7294,Tyrobp
-1.9308898e-05,0.03729002,0.00046893954,-0.00072704995,0.000757639,7294,Arpc1b
0.00041369064,0.037498843,0.00079987943,0.00016534621,0.0006863196,7294,Laptm5
-0.00020068994,0.037455738,2.002716e-05,-0.00070755795,0.00035574232,7294,Ptpn18
-0.0005716132,0.03808508,-0.00017891452,-0.0018181043,0.0007967665,7294,Cd53
0.00028337087,0.038027897,0.00047139823,0.00029986326,0.00026526573,7294,Unc93b1
-0.0006666755,0.037625287,-0.00041386485,-0.0007866489,-0.0005349706,7294,Cd52
-0.0005811889,0.037679344,-0.0003288258,-0.0011019224,-9.535029e-06,7294,H2-D1
0.0006703817,0.03815424,0.00069280714,-0.00038418823,0.0018280733,7294,C1qb
-0.00048594066,0.038098454,-0.00058297813,-0.0006218122,-0.00033678274,7294,Lgmn
